Object Number,Is Highlight,Is Public Domain,Object ID,Department,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Metadata Date,Repository,Tags,Image URL
29.100.507,FALSE,TRUE,45820,Asian Art,Hanging scroll,,Japan,Edo period (1615–1868),,,,Artist,,Katsushika Hokusai,"Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)",,Katsushika Hokusai,Japanese,1760,1849,19th century,1800,1849,Hanging scroll; ink and color on paper,"Image: 30 7/8 × 9 5/8 in. (78.5 × 24.5 cm)
Overall with mounting: 60 3/4 × 13 3/16 in. (154.3 × 33.5 cm)
Overall with knobs: 60 3/4 × 15 1/8 in. (154.3 × 38.4 cm)","H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer, 1929",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/45820,2019-03-12T03:00:48.307Z,"Metropolitan Museum of Art, New York, NY",Men,https://images.metmuseum.org/CRDImages/as/original/29_100_507_02_sf.jpg
14.76.30,FALSE,TRUE,45822,Asian Art,Hanging scroll,,Japan,Edo period (1615–1868),,,,Artist,,Katsushika Hokusai,"Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)",,Katsushika Hokusai,Japanese,1760,1849,dated 1790,1790,1790,Hanging scroll; ink and color on silk,"Image: 33 3/4 × 12 5/16 in. (85.8 × 31.3 cm)
Overall with mounting: 67 5/16 × 12 5/16 in. (171 × 31.3 cm)
Overall with knobs: 67 5/16 × 19 1/8 in. (171 × 48.5 cm)","Charles Stewart Smith Collection, Gift of Mrs. Charles Stewart Smith, Charles Stewart Smith Jr., and Howard Caswell Smith, in memory of Charles Stewart Smith, 1914",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/45822,2019-04-07T03:00:46.673Z,"Metropolitan Museum of Art, New York, NY",Working|Birds|Children|Women,https://images.metmuseum.org/CRDImages/as/original/DT5290.jpg
14.76.34,FALSE,TRUE,48878,Asian Art,Hanging scroll,,Japan,Edo period (1615–1868),,,,Artist,,Katsushika Hokusai,"Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)",,Katsushika Hokusai,Japanese,1760,1849,dated 1780,1780,1780,Hanging scroll; ink and color on silk,"Image: 49 3/16 × 19 5/8 in. (125 × 49.8 cm)
Overall with mounting: 90 3/16 × 28 1/16 in. (229 cm)
Overall with knobs: 90 3/16 × 30 3/16 in. (229 × 76.7 cm)","Charles Stewart Smith Collection, Gift of Mrs. Charles Stewart Smith, Charles Stewart Smith Jr., and Howard Caswell Smith, in memory of Charles Stewart Smith, 1914",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/48878,2019-02-01T10:50:49.477Z,"Metropolitan Museum of Art, New York, NY",Animals|Infants|Men|Women|Trees,https://images.metmuseum.org/CRDImages/as/original/14_76_34_02_sf.jpg
29.100.1403,FALSE,TRUE,48880,Asian Art,Hanging scroll,,Japan,Edo period (1615–1868),,,,Artist,,Katsushika Hokusai,"Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)",,Katsushika Hokusai,Japanese,1760,1849,1839,1839,1839,Hanging scroll; ink and color on paper,"Image: 11 3/16 × 27 9/16 in. (28.4 × 70 cm)
Overall with mounting: 45 3/8 × 30 7/16 in. (115.3 × 77.3 cm)
Overall with knobs: 45 3/8 × 30 13/16 in. (115.3 × 78.2 cm)","H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer, 1929",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/48880,2019-03-21T03:00:46.84Z,"Metropolitan Museum of Art, New York, NY",Geese|Streams,https://images.metmuseum.org/CRDImages/as/original/ASA264.jpg
36.100.29,FALSE,TRUE,48883,Asian Art,Hanging scroll,,Japan,Edo period (1615–1868),,,,Artist,Attributed to,Katsushika Hokusai,"Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)",,Katsushika Hokusai,Japanese,1760,1849,19th century,1800,1849,Hanging scroll; ink and color on paper,"Image: 44 5/16 × 9 3/16 in. (112.5 × 23.4 cm)
Overall with mounting: 80 9/16 × 10 11/16 in. (204.7 × 27.2 cm)
Overall with knobs: 80 9/16 × 12 1/2 in. (204.7 × 31.8 cm)","The Howard Mansfield Collection, Purchase, Rogers Fund, 1936",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/48883,2019-02-01T10:50:49.477Z,"Metropolitan Museum of Art, New York, NY",Birds|Plants,https://images.metmuseum.org/CRDImages/as/original/36_100_29_249179.jpg
14.76.44,FALSE,TRUE,48885,Asian Art,Hanging scroll,,Japan,Edo period (1615–1868),,,,Artist,,Katsushika Hokusai,"Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)",,Katsushika Hokusai,Japanese,1760,1849,dated 1790,1615,1868,Hanging scroll; ink and color on silk,12 3/4 x 22 1/2 in. (32.4 x 57.2 cm),"Charles Stewart Smith Collection, Gift of Mrs. Charles Stewart Smith, Charles Stewart Smith Jr., and Howard Caswell Smith, in memory of Charles Stewart Smith, 1914",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/48885,2019-10-10T14:54:23.72Z,"Metropolitan Museum of Art, New York, NY",Demons|Weapons|Human Figures,https://images.metmuseum.org/CRDImages/as/original/14_76_44_249155.jpg
14.76.60.1–.109,FALSE,TRUE,48886,Asian Art,Album leaves,,Japan,Edo period (1615–1868),,,,Artist,,Katsushika Hokusai,"Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)",and others,Katsushika Hokusai,Japanese,1760,1849,19th century,1800,1868,"Album of one hundred and nine leaves; ink on paper, ink and color on paper",15 3/8 x 10 11/16 in. (39.1 x 27.1 cm),"Charles Stewart Smith Collection, Gift of Mrs. Charles Stewart Smith, Charles Stewart Smith Jr., and Howard Caswell Smith, in memory of Charles Stewart Smith, 1914",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/48886,2019-02-01T10:50:49.477Z,"Metropolitan Museum of Art, New York, NY",Chickens,https://images.metmuseum.org/CRDImages/as/original/DT5298.jpg
"JIB141a, b",FALSE,TRUE,48887,Asian Art,Two booklets,,Japan,Edo period (1615–1868),,,,Artist,,Katsushika Hokusai,"Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)",,Katsushika Hokusai,Japanese,1760,1849,1829–31,1829,1831,Two albums pasted with 548 drawings; ink and color on paper,each: 5 1/4 × 7 3/4 in. (13.3 × 19.7 cm),"Fletcher Fund, 1941",,,,,,,,,,,,Illustrated Books,,http://www.metmuseum.org/art/collection/search/48887,2019-02-01T10:50:49.477Z,"Metropolitan Museum of Art, New York, NY",Animals|Books|Men|Hunting|Ships,https://images.metmuseum.org/CRDImages/as/original/DP317457_crd.jpg
37.119.3,FALSE,TRUE,48889,Asian Art,Painting,,Japan,Edo period (1615–1868),,,,Artist,,Katsushika Hokusai,"Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)",,Katsushika Hokusai,Japanese,1760,1849,19th century,1800,1849,Matted painting; ink on paper (wash drawing?),10 3/8 x 14 in. (26.4 x 35.6 cm),"Fletcher Fund, 1937",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/48889,2019-02-01T10:50:49.477Z,"Metropolitan Museum of Art, New York, NY",Weapons|Men|Horse Riding|Horses,https://images.metmuseum.org/CRDImages/as/original/37_119_3_112078.jpg
56.121.1,FALSE,TRUE,48890,Asian Art,Painting,,Japan,Edo period (1615–1868),,,,Artist,Attributed to,Katsushika Hokusai,"Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)",,Katsushika Hokusai,Japanese,1760,1849,18th–19th century,1760,1849,Unmounted painting; ink on paper,10 3/4 x 6 7/8 in. (27.3 x 17.5 cm),"Gift of Annette Young, in memory of her brother, Innis Young, 1956",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/48890,2019-02-01T10:50:49.477Z,"Metropolitan Museum of Art, New York, NY",Bamboo,https://images.metmuseum.org/CRDImages/as/original/56_121_1_162291.jpg
JP2912,FALSE,TRUE,49934,Asian Art,Woodblock print,"琉球八景　泉崎夜月|Evening Moon at Izumizaki (Izaumizaki yagetsu), from the series Eight Views of the Ryūkyū Islands (Ryūkyū hakkei)",Japan,Edo period (1615–1868),,,,Artist,,Katsushika Hokusai,"Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)",,Katsushika Hokusai,Japanese,1760,1849,ca. 1832,1822,1842,Polychrome woodblock print; ink and color on paper,9 7/8 x 14 5/8 in. (25.1 x 37.1 cm),"Henry L. Phillips Collection, Bequest of Henry L. Phillips, 1939",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/49934,2019-02-01T10:50:49.477Z,"Metropolitan Museum of Art, New York, NY",Houses|Bridges|Moon|Mountains|Landscapes,https://images.metmuseum.org/CRDImages/as/original/DP141121.jpg
JP2913,FALSE,TRUE,49935,Asian Art,Woodblock print,"琉球八景　中島蕉園|Banana Garden at Nakashima (Nakashima shōen), from the series Eight Views of the Ryūkyū Islands (Ryūkyū hakkei)",Japan,Edo period (1615–1868),,,,Artist,,Katsushika Hokusai,"Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)",,Katsushika Hokusai,Japanese,1760,1849,ca. 1832,1822,1842,Polychrome woodblock print; ink and color on paper,9 7/8 x 14 5/8 in. (25.1 x 37.1 cm),"Henry L. Phillips Collection, Bequest of Henry L. Phillips, 1939",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/49935,2019-02-01T10:50:49.477Z,"Metropolitan Museum of Art, New York, NY",Houses|Gardens|Landscapes|Trees,https://images.metmuseum.org/CRDImages/as/original/DP141122.jpg
JP2914,FALSE,TRUE,49936,Asian Art,Woodblock print,"琉球八景　粂村竹籬|Bamboo Hedge at Kumemura (Kumemura chikuri), from the series Eight Views of the Ryūkyū Islands (Ryūkyū hakkei)",Japan,Edo period (1615–1868),,,,Artist,,Katsushika Hokusai,"Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)",,Katsushika Hokusai,Japanese,1760,1849,ca. 1832,1822,1842,Polychrome woodblock print; ink and color on paper,9 7/8 x 14 5/8 in. (25.1 x 37.1 cm),"Henry L. Phillips Collection, Bequest of Henry L. Phillips, 1939",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/49936,2019-04-02T03:00:47.7Z,"Metropolitan Museum of Art, New York, NY",Houses|Landscapes|Boats,https://images.metmuseum.org/CRDImages/as/original/DP141123.jpg
JP2915,FALSE,TRUE,49937,Asian Art,Woodblock print,"琉球八景　城嶽霊泉|The Sacred Spring at Jōgaku (Jōgaku reisen), from the series Eight Views of the Ryūkyū Islands (Ryūkyū hakkei)",Japan,Edo period (1615–1868),,,,Artist,,Katsushika Hokusai,"Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)",,Katsushika Hokusai,Japanese,1760,1849,ca. 1832,1822,1842,Polychrome woodblock print; ink and color on paper,9 7/8 x 14 5/8 in. (25.1 x 37.1 cm),"Henry L. Phillips Collection, Bequest of Henry L. Phillips, 1939",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/49937,2019-02-01T10:50:49.477Z,"Metropolitan Museum of Art, New York, NY",Waterfalls|Mountains|Landscapes|Trees,https://images.metmuseum.org/CRDImages/as/original/DP141124.jpg
JP2916,FALSE,TRUE,49938,Asian Art,Woodblock print,"琉球八景　臨海潮（湖）聲|Sound of the Lake at Rinkai (Rinkai kosei), from the series Eight Views of the Ryūkyū Islands (Ryūkyū hakkei)",Japan,Edo period (1615–1868),,,,Artist,,Katsushika Hokusai,"Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)",,Katsushika Hokusai,Japanese,1760,1849,ca. 1832,1822,1842,Polychrome woodblock print; ink and color on paper,Oban  9 3/4 x 14 1/2 in. (24.8 x 36.8 cm),"Henry L. Phillips Collection, Bequest of Henry L. Phillips, 1939",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/49938,2019-04-02T03:00:47.7Z,"Metropolitan Museum of Art, New York, NY",Houses|Lakes|Landscapes|Boats,https://images.metmuseum.org/CRDImages/as/original/DP141125.jpg
JP2917,FALSE,TRUE,49939,Asian Art,Woodblock print,"琉球八景　筍崖夕照|Evening Glow at Jungai (Jungai sekishō), from the series Eight Views of the Ryūkyū Islands (Ryūkyū hakkei)",Japan,Edo period (1615–1868),,,,Artist,,Katsushika Hokusai,"Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)",,Katsushika Hokusai,Japanese,1760,1849,ca. 1832,1822,1842,Polychrome woodblock print; ink and color on paper,9 7/8 x 14 1/2 in. (25.1 x 36.8 cm),"Henry L. Phillips Collection, Bequest of Henry L. Phillips, 1939",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/49939,2019-03-21T03:00:46.84Z,"Metropolitan Museum of Art, New York, NY",Landscapes|Boats,https://images.metmuseum.org/CRDImages/as/original/DP141126.jpg
JP2918,FALSE,TRUE,49940,Asian Art,Woodblock print,"琉球八景　長虹秋霽|Autumn Sky at Chōkō (Chōkō shūsei), from the series Eight Views of the Ryūkyū Islands (Ryūkyū hakkei)",Japan,Edo period (1615–1868),,,,Artist,,Katsushika Hokusai,"Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)",,Katsushika Hokusai,Japanese,1760,1849,ca. 1832,1822,1842,Polychrome woodblock print; ink and color on paper,9 7/8 x 14 5/8 in. (25.1 x 37.1 cm),"Henry L. Phillips Collection, Bequest of Henry L. Phillips, 1939",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/49940,2019-03-12T03:00:48.307Z,"Metropolitan Museum of Art, New York, NY",Bridges|Hills|Boats,https://images.metmuseum.org/CRDImages/as/original/DP141127.jpg
JP2919,FALSE,TRUE,49941,Asian Art,Woodblock print,"琉球八景　龍洞松濤|Pines and Waves at Ryūtō (Ryūtō shōtō), from the series Eight Views of the Ryūkyū Islands (Ryūkyū hakkei)",Japan,Edo period (1615–1868),,,,Artist,,Katsushika Hokusai,"Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)",,Katsushika Hokusai,Japanese,1760,1849,ca. 1832,1822,1842,Polychrome woodblock print; ink and color on paper,9 7/8 x 14 5/8 in. (25.1 x 37.1 cm),"Henry L. Phillips Collection, Bequest of Henry L. Phillips, 1939",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/49941,2019-04-02T03:00:47.7Z,"Metropolitan Museum of Art, New York, NY",Landscapes|Snow|Islands,https://images.metmuseum.org/CRDImages/as/original/DP141128.jpg
14.76.58.1–.25,FALSE,TRUE,50915,Asian Art,Album leaves,『画本葛飾振』|Picture Book in the Katsushika Style (Ehon Katsushika-buri),Japan,Edo period (1615–1868),,,,Artist,,Katsushika Hokusai,"Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)",,Katsushika Hokusai,Japanese,1760,1849,ca. 1836,1826,1846,Folding album of twenty-eight block-ready drawings (hanshita-e) for book illustrations; ink on paper with woodblock-printed borders and titles,10 x 15 1/2 in. (25.4 x 39.4 cm),"Charles Stewart Smith Collection, Gift of Mrs. Charles Stewart Smith, Charles Stewart Smith Jr., and Howard Caswell Smith, in memory of Charles Stewart Smith, 1914",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/50915,2019-02-01T10:50:49.477Z,"Metropolitan Museum of Art, New York, NY",Books|Men,https://images.metmuseum.org/CRDImages/as/original/DP273159.jpg
JP1380,FALSE,TRUE,50916,Asian Art,Woodblock print,"諸國名橋奇覧　東海道岡崎矢はぎのはし|Yahagi Bridge at Okazaki on the Tōkaidō (Tōkaidō Okazaki Yahagi no hashi), from the series Remarkable Views of Bridges in Various Provinces (Shokoku meikyō kiran)",Japan,Edo period (1615–1868),,,,Artist,,Katsushika Hokusai,"Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)",,Katsushika Hokusai,Japanese,1760,1849,1827–30,1827,1830,Polychrome woodblock print; ink and color on paper,H. 9 3/4 in. (24.8 cm); W. 14 1/2 in. (36.8 cm),"Rogers Fund, 1922",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/50916,2019-10-10T14:54:23.72Z,"Metropolitan Museum of Art, New York, NY",Bridges|Human Figures,https://images.metmuseum.org/CRDImages/as/original/DP141229.jpg
JP1382,FALSE,TRUE,50924,Asian Art,Woodblock print,"諸國名橋奇覧　ゑちぜんふくゐの橋|Fukui Bridge in Echizen Province (Echizen Fukui no hashi), from the series Remarkable Views of Bridges in Various Provinces (Shokoku meikyō kiran)",Japan,Edo period (1615–1868),,,,Artist,,Katsushika Hokusai,"Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)",,Katsushika Hokusai,Japanese,1760,1849,1827–30,1827,1830,Polychrome woodblock print; ink and color on paper,H. 9 3/4 in. (24.8 cm); W. 14 1/2 in. ( 36.8 cm),"Rogers Fund, 1922",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/50924,2019-10-10T14:54:23.72Z,"Metropolitan Museum of Art, New York, NY",Bridges|Horses|Hills|Trees|Human Figures,https://images.metmuseum.org/CRDImages/as/original/DP141231.jpg
JP2942,FALSE,TRUE,53191,Asian Art,Woodblock print,"諸國名橋奇覧　足利行道山くものかけはし|The Hanging-cloud Bridge at Mount Gyōdō near Ashikaga (Ashikaga Gyōdōzan kumo no kakehashi), from the series Remarkable Views of Bridges in Various Provinces (Shokoku meikyō kiran)",Japan,Edo period (1615–1868),,,,Artist,,Katsushika Hokusai,"Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)",,Katsushika Hokusai,Japanese,1760,1849,1760–1849,1760,1849,Polychrome woodblock print; ink and color on paper,H. 10 1/8 in. (25.7 cm); W. 15 1/8 in. (38.4 cm),"Henry L. Phillips Collection, Bequest of Henry L. Phillips, 1939",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/53191,2019-02-01T10:50:49.477Z,"Metropolitan Museum of Art, New York, NY",Houses|Bridges|Mountains|Trees,https://images.metmuseum.org/CRDImages/as/original/DP141243.jpg
JP2944,FALSE,TRUE,53192,Asian Art,Woodblock print,"諸國名橋奇覧　飛越の堺つりはし|The Suspension Bridge on the Border of Hida and Etchū Provinces (Hietsu no sakai tsuribashi), from the series Remarkable Views of Bridges in Various Provinces (Shokoku meikyō kiran)",Japan,Edo period (1615–1868),,,,Artist,,Katsushika Hokusai,"Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)",,Katsushika Hokusai,Japanese,1760,1849,ca. 1830,1820,1840,Polychrome woodblock print; ink and color on paper,H. 10 1/8 in. (25.7 cm); W. 15 1/8 in. (38.4 cm),"Henry L. Phillips Collection, Bequest of Henry L. Phillips, 1939",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/53192,2019-10-10T14:54:23.72Z,"Metropolitan Museum of Art, New York, NY",Bridges|Mountains|Trees|Human Figures,https://images.metmuseum.org/CRDImages/as/original/DP141245.jpg
JP2949,FALSE,TRUE,53193,Asian Art,Woodblock print,"諸國名橋奇覧　摂洲天満橋|Tenman Bridge at Settsu Province (Sesshū  Tenmanbashi), from the series Remarkable Views of Bridges in Various Provinces (Shokoku meikyō kiran)",Japan,Edo period (1615–1868),,,,Artist,,Katsushika Hokusai,"Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)",,Katsushika Hokusai,Japanese,1760,1849,1760–1849,1760,1849,Polychrome woodblock print; ink and color on paper,H. 10 1/8 in. (25.7 cm); W. 15 1/8 in. (38.4 cm),"Henry L. Phillips Collection, Bequest of Henry L. Phillips, 1939",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/53193,2019-10-10T14:54:23.72Z,"Metropolitan Museum of Art, New York, NY",Rivers|Lanterns|Bridges|Boats|Human Figures,https://images.metmuseum.org/CRDImages/as/original/DP141277.jpg
JP2994,FALSE,TRUE,53692,Asian Art,Woodblock print,"冨嶽三十六景　江都駿河町三井見世略図|Mitsui Shop at Surugachō in Edo (Edo Surugachō Mitsui mise ryaku zu), from the series Thirty-six Views of Mount Fuji (Fugaku sanjūrokkei)",Japan,Edo period (1615–1868),,,,Artist,,Katsushika Hokusai,"Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)",,Katsushika Hokusai,Japanese,1760,1849,ca. 1830–32,1820,1842,Polychrome woodblock print; ink and color on paper,10 1/8 x 14 7/8 in. (25.7 x 37.8 cm),"Henry L. Phillips Collection, Bequest of Henry L. Phillips, 1939",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/53692,2019-02-01T10:50:49.477Z,"Metropolitan Museum of Art, New York, NY",Houses|Men|Mountains,https://images.metmuseum.org/CRDImages/as/original/DP141093.jpg
JP2943,FALSE,TRUE,53698,Asian Art,Woodblock print,"諸國名橋奇覧　かうつけ佐野ふなはしの古づ|Old View of the Boat-bridge at Sano in Kōzuke Province (Kōzuke Sano funabashi no kozu), from the series Remarkable Views of Bridges in Various Provinces (Shokoku meikyō kiran)",Japan,Edo period (1615–1868),,,,Artist,,Katsushika Hokusai,"Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)",,Katsushika Hokusai,Japanese,1760,1849,ca. 1830,1820,1840,Polychrome woodblock print; ink and color on paper,10 1/8 x 15 1/2 in. (25.7 x 39.4 cm),"Henry L. Phillips Collection, Bequest of Henry L. Phillips, 1939",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/53698,2019-02-01T10:50:49.477Z,"Metropolitan Museum of Art, New York, NY",Houses|Bridges|Horse Riding|Trees|Snow,https://images.metmuseum.org/CRDImages/as/original/DP141244.jpg
JP1381,FALSE,TRUE,53699,Asian Art,Woodblock print,"諸國名橋奇覧　かうつけ佐野ふなはしの古づ|Old View of the Boat-bridge at Sano in Kōzuke Province (Kōzuke Sano funabashi no kozu), from the series Remarkable Views of Bridges in Various Provinces (Shokoku meikyō kiran)",Japan,Edo period (1615–1868),,,,Artist,,Katsushika Hokusai,"Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)",,Katsushika Hokusai,Japanese,1760,1849,1827–30,1827,1830,Polychrome woodblock print; ink and color on paper,H. 9 3/4 in. (24.8 cm); W. 14 9/16 in. (37 cm),"Rogers Fund, 1922",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/53699,2019-08-31T04:41:15.713Z,"Metropolitan Museum of Art, New York, NY",Landscapes|Snow|Bridges|Horse Riding,https://images.metmuseum.org/CRDImages/as/original/DP141230.jpg
JP1851,FALSE,TRUE,53700,Asian Art,Woodblock print,"「諸國名橋寄覧　東海道岡崎 矢はぎのはし」|Yahagi Bridge at Okazaki on the Tōkaidō (Tōkaidō Okazaki Yahagi no hashi), from the series Remarkable Views of Bridges in Various Provinces (Shokoku meikyō kiran)",Japan,Edo period (1615–1868),,,,Artist,,Katsushika Hokusai,"Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)",,Katsushika Hokusai,Japanese,1760,1849,ca. 1834,1824,1844,Polychrome woodblock print; ink and color on paper,H. 10 3/16 in. (25.9 cm); W. 15 1/16 in. (38.3 cm),"H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer, 1929",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/53700,2019-03-12T03:00:48.307Z,"Metropolitan Museum of Art, New York, NY",Bridges|Rivers|Crowd,https://images.metmuseum.org/CRDImages/as/original/DP141238.jpg
JP2948,FALSE,TRUE,53786,Asian Art,Woodblock print,"諸國名橋奇覧　山城あらし山吐月橋　|Togetsu Bridge at Arashiyama in Yamashiro, from the series Remarkable Views of Bridges in Various Provinces (Shokoku meikyō kiran)",Japan,Edo period (1615–1868),,,,Artist,,Katsushika Hokusai,"Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)",,Katsushika Hokusai,Japanese,1760,1849,ca. 1830,1820,1840,Polychrome woodblock print; ink and color on paper,10 3/8 x 15 1/4 in. (26.4 x 38.7 cm),"Henry L. Phillips Collection, Bequest of Henry L. Phillips, 1939",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/53786,2019-03-21T03:00:46.84Z,"Metropolitan Museum of Art, New York, NY",Bridges|Hills|Landscapes,https://images.metmuseum.org/CRDImages/as/original/DP141276.jpg
JP2547,FALSE,TRUE,53787,Asian Art,Woodblock print,"諸國名橋奇覧　かうつけ佐野ふなはしの古づ|Old View of the Boat-bridge at Sano in Kōzuke Province (Kōzuke Sano funabashi no kozu), from the series Remarkable Views of Bridges in Various Provinces (Shokoku meikyō kiran)",Japan,Edo period (1615–1868),,,,Artist,,Katsushika Hokusai,"Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)",,Katsushika Hokusai,Japanese,1760,1849,ca. 1830,1820,1840,Polychrome woodblock print; ink and color on paper,10 x 14 7/8 in. (25.4 x 37.8 cm),"The Howard Mansfield Collection, Purchase, Rogers Fund, 1936",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/53787,2019-03-21T03:00:46.84Z,"Metropolitan Museum of Art, New York, NY",Landscapes|Bridges|Horse Riding|Snow,https://images.metmuseum.org/CRDImages/as/original/DP141239.jpg
JP1396,FALSE,TRUE,53788,Asian Art,Woodblock print,"諸國名橋奇覧　足利行道山くものかけはし|The Hanging-cloud Bridge at Mount Gyōdō near Ashikaga (Ashikaga Gyōdōzan kumo no kakehashi), from the series Remarkable Views of Bridges in Various Provinces (Shokoku meikyō kiran)",Japan,Edo period (1615–1868),,,,Artist,,Katsushika Hokusai,"Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)",,Katsushika Hokusai,Japanese,1760,1849,ca. 1830,1820,1840,Polychrome woodblock print; ink and color on paper,H. 9 1/2 in. (24.1 cm); W. 14 1/16 in. (35.7 cm),"Rogers Fund, 1922",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/53788,2019-08-31T04:41:15.713Z,"Metropolitan Museum of Art, New York, NY",Houses|Bridges|Mountains|Trees,https://images.metmuseum.org/CRDImages/as/original/DP141233.jpg
JP1397,FALSE,TRUE,53789,Asian Art,Woodblock print,"諸國名橋奇覧　飛越の堺つりはし|The Suspension Bridge on the Border of Hida and Etchū Provinces (Hietsu no sakai tsuribashi), from the series Remarkable Views of Bridges in Various Provinces (Shokoku meikyō kiran)",Japan,Edo period (1615–1868),,,,Artist,,Katsushika Hokusai,"Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)",,Katsushika Hokusai,Japanese,1760,1849,ca. 1830,1820,1840,Polychrome woodblock print; ink and color on paper,H. 10 1/4 in. (26 cm); W. 15 1/8 in. (38.4 cm),"Rogers Fund, 1922
",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/53789,2019-10-10T14:54:23.72Z,"Metropolitan Museum of Art, New York, NY",Bridges|Mountains|Human Figures,https://images.metmuseum.org/CRDImages/as/original/DP141234.jpg
